"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"PQJGBSU7YWWTQH72","JRTCKXETXF","PQJGBSU7YWWTQH72.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Oregon) data transfer to Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (Oregon)","AWS Region","Asia Pacific (Singapore)","AWS Region","USW2-APS1-AWS-Out-Bytes","",,
"ZHNEWRM5JMUK596C","JRTCKXETXF","ZHNEWRM5JMUK596C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to US West (Oregon) from CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Amazon CloudFront","AWS Edge Location","USW2-CloudFront-In-Bytes","",,
"F49U9BGATCD8QSNE","JRTCKXETXF","F49U9BGATCD8QSNE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB - Asia Pacific (Tokyo) data transfer to Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0900000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Singapore)","AWS Region","APN1-APS1-AWS-Out-Bytes","",,
"A798F4VSFTBGSQ7U","JRTCKXETXF","A798F4VSFTBGSQ7U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EUC1 (FRA) data transfer from AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Frankfurt)","AWS Region","AWS GovCloud (US)","AWS Region","EUC1-UGW1-AWS-In-Bytes","",,
"BYHFUD8GER3SC98Z","JRTCKXETXF","BYHFUD8GER3SC98Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Singapore)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","Asia Pacific (Singapore)","AWS Region","APS2-APS1-AWS-In-Bytes","",,
"92FXRAS6HEFBPM9Y","JRTCKXETXF","92FXRAS6HEFBPM9Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per GB - Asia Pacific (Sydney) data transfer to South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.1400000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","Asia Pacific (Sydney)","AWS Region","South America (Sao Paulo)","AWS Region","APS2-SAE1-AWS-Out-Bytes","",,
"HZ8BD4S82AMV8FX6","JRTCKXETXF","HZ8BD4S82AMV8FX6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from US West (Oregon)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","EU (Ireland)","AWS Region","US West (Oregon)","AWS Region","EU-USW2-AWS-In-Bytes","",,
"XP8FB3XPCR9YA3KF","JRTCKXETXF","XP8FB3XPCR9YA3KF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from US West (Oregon)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","US West (Oregon)","AWS Region","SAE1-USW2-AWS-In-Bytes","",,
"J3WDZBTPVM379QT2","JRTCKXETXF","J3WDZBTPVM379QT2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Northern California) data transfer from EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","EU (Frankfurt)","AWS Region","USW1-EUC1-AWS-In-Bytes","",,
"HRDUH37FPEQWGKZQ","JRTCKXETXF","HRDUH37FPEQWGKZQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Singapore) data transfer from AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Singapore)","AWS Region","AWS GovCloud (US)","AWS Region","APS1-UGW1-AWS-In-Bytes","",,
